run,step,fid,kid_e3
Baseline,220000,6.4888,4.588486
Baseline,240000,6.3308,4.570814
Baseline,260000,6.2918,4.441428
Baseline,280000,6.2445,4.544567
Baseline,300000,6.1151,4.472187
Baseline,320000,6.1411,4.461434
Baseline,340000,6.0593,4.422480
Baseline,360000,6.0460,4.359486
Baseline,380000,5.9710,4.343646
Baseline,400000,5.8690,4.366972
REPA (DINOv2-B),220000,6.0018,4.455298
REPA (DINOv2-B),240000,5.9116,4.627157
REPA (DINOv2-B),260000,5.8480,4.355363
REPA (DINOv2-B),280000,5.7128,4.364789
REPA (DINOv2-B),300000,5.7450,4.304904
REPA (DINOv2-B),320000,5.7271,4.451664
REPA (DINOv2-B),340000,5.6995,4.332640
REPA (DINOv2-B),360000,5.6009,4.371784
REPA (DINOv2-B),380000,5.5861,4.296544
REPA (DINOv2-B),400000,5.6140,4.418761
REPA-Sigma-bloop (DINOv2-B),20000,340.2365,395.758995
REPA-Sigma-bloop (DINOv2-B),40000,26.4378,20.719876
REPA-Sigma-bloop (DINOv2-B),60000,10.6780,7.495559
REPA-Sigma-bloop (DINOv2-B),80000,7.7865,5.285874
REPA-Sigma-bloop (DINOv2-B),100000,7.0210,4.731945
REPA-Sigma-bloop (DINOv2-B),120000,6.6385,4.688497
REPA-Sigma-bloop (DINOv2-B),140000,6.2746,4.456148
REPA-Sigma-bloop (DINOv2-B),160000,6.0737,4.282742
REPA-Sigma-bloop (DINOv2-B),180000,5.9547,4.307291
REPA-Sigma-bloop (DINOv2-B),200000,5.8885,4.250066
REPA-Sigma-bloop (DINOv2-B),220000,5.8407,4.274423
REPA-Sigma-bloop (DINOv2-B),240000,5.7126,4.206646
REPA-Sigma-bloop (DINOv2-B),260000,5.6015,4.272618
REPA-Sigma-bloop (DINOv2-B),280000,5.4582,4.132142
REPA-Sigma-bloop (DINOv2-B),300000,5.5229,4.122591
REPA-Sigma-bloop (DINOv2-B),320000,5.5107,4.049640
REPA-Sigma-bloop (DINOv2-B),340000,5.4549,4.252072
REPA-Sigma-bloop (DINOv2-B),360000,5.4046,3.957678
REPA-Sigma-bloop (DINOv2-B),400000,5.4113,4.162718
