run,step,fid,kid_e3
REPA-anneal (DINOv2-B),20000,324.7931,371.053052
REPA-anneal (DINOv2-B),40000,24.4681,19.446666
REPA-anneal (DINOv2-B),60000,10.6097,7.310367
REPA-anneal (DINOv2-B),80000,8.3352,5.831584
REPA-anneal (DINOv2-B),100000,7.3730,5.004528
REPA-anneal (DINOv2-B),120000,6.7389,4.647973
REPA-anneal (DINOv2-B),140000,6.4501,4.664648
REPA-anneal (DINOv2-B),160000,6.2974,4.523762
REPA-anneal (DINOv2-B),180000,6.0885,4.352973
REPA-anneal (DINOv2-B),200000,6.1145,4.537156
REPA-Sigma-anneal (DINOv2-B),20000,311.6780,354.323611
REPA-Sigma-anneal (DINOv2-B),40000,24.0564,18.680098
REPA-Sigma-anneal (DINOv2-B),60000,11.1378,7.920229
REPA-Sigma-anneal (DINOv2-B),80000,8.2905,5.794401
REPA-Sigma-anneal (DINOv2-B),100000,7.2425,5.058071
REPA-Sigma-anneal (DINOv2-B),120000,6.7466,4.689225
REPA-Sigma-anneal (DINOv2-B),140000,6.3965,4.698687
REPA-Sigma-anneal (DINOv2-B),160000,6.2329,4.457609
REPA-Sigma-anneal (DINOv2-B),180000,6.0434,4.270986
REPA-Sigma-anneal (DINOv2-B),200000,6.0149,4.363337
